127.0.0.1, 2016-10-10 14:55:35, GET, /, HTTP/1.1, 303, 0.002753
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.202526
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000978
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000866
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001913
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001502
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000769
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000304
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000599
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000430
127.0.0.1, 2016-10-10 14:55:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001065
127.0.0.1, 2016-10-10 14:55:36, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000443
127.0.0.1, 2016-10-10 14:55:36, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000916
127.0.0.1, 2016-10-10 14:55:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000781
127.0.0.1, 2016-10-10 14:55:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2016-10-10 14:55:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2016-10-10 14:55:36, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000328
127.0.0.1, 2016-10-10 14:55:48, GET, /main, HTTP/1.1, 404, 0.000273
127.0.0.1, 2016-10-10 14:55:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2016-10-10 14:55:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.018246
127.0.0.1, 2016-10-10 14:56:03, GET, /main, HTTP/1.1, 404, 0.000245
127.0.0.1, 2016-10-10 14:56:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2016-10-10 14:56:22, GET, /main, HTTP/1.1, 404, 0.000276
127.0.0.1, 2016-10-10 14:56:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2016-10-10 14:56:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.018689
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.015685
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000410
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000832
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001117
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001024
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000668
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001201
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000628
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001232
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001546
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000517
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000310
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000717
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000359
127.0.0.1, 2016-10-10 14:56:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000512
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/default/index, HTTP/1.1, 200, 0.129309
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001514
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001288
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000554
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.002118
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000856
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000884
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001570
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000973
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001258
127.0.0.1, 2016-10-10 14:56:46, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000657
